28603 0 626178	Visualizing web site comparisons.
19644 0 278999	Social Network Extraction of Academic Researchers.
4238 1 28746	Yutaka Matsushita
6751 1 85767	J��rgen Frohn
6774 1 85841	Sandra Heiler
37713 3 13440	prosper
15510 0 11043	Reasoning About Grasping.
29925 3 1130	remotely
21656 0 360126	The Difference All-Difference Makes.
24753 0 551364	Project contexts to situate personal information.
7475 1 113158	Marcin Zukowski
21139 0 358827	A Greedy Approach to Establish Singleton Arc Consistency.
17601 0 162856	LoT: Dynamic Declustering of TSB-Tree Nodes for Parallel Access to Temporal Data.
29312 3 479	rules
23094 0 486941	Conditional Random Fields for Transmembrane Helix Prediction.
17720 0 163088	Mine your own business, mine others' news!
32817 3 4754	disruptions
27197 0 595607	Information Preserving XML Schema Embedding.
7779 1 113877	Kevyn Collins-Thompson
24067 0 536232	Clustering with Bregman Divergences.
16891 0 117415	Toward a Scale-Space Aspect Graph: Solids of Revolution.
2962 1 19251	Eric V. Siegel
32881 3 4836	domino
26207 0 555072	Real-Time Transaction Scheduling: A Cost Conscious Approach.
20278 0 309825	Regression on manifolds using kernel dimension reduction.
6000 1 62094	Liu Wenyin
14448 1 453625	Naama Zwerdling
30899 3 2243	powerdb
3512 1 20456	David Silver
19943 0 308878	Using Eligibility Traces to Find the Best Memoryless Policy in Partially Observable Markov Decision Processes.
22126 0 361197	Winner Determination in Sequential Majority Voting.
34753 3 8037	spin
29390 3 560	efficient
9774 1 167400	Toshiaki Yoshino
7442 1 111356	Ilvio Bruder
15925 0 12063	Computing Observation Vectors for Max-Fault Min-Cardinality Diagnoses.
17626 0 162912	Correct Schema Transformations.
37773 3 13547	bayesians
35132 3 8805	infers
14242 1 438449	Meridith A. Lane
5282 1 44094	Laurence Cholvy
14356 1 438663	Shiang Chen Liew
27051 0 595361	Hybrid Transitive Closure Algorithms.
2346 1 17893	Niels Landwehr
17324 0 158989	Simulating Children Learning and Explaining Elementary Heat Transfer Phenomena: A Multistrategy System at Work.
27285 0 595735	To Tune or not to Tune? A Lightweight Physical Design Alerter.
17281 0 158806	TildeCRF: Conditional Random Fields for Logical Sequences.
21796 0 360476	Dominance and Subsumption in Constraint-Posting Planning.
30148 3 1368	horizon
31600 3 3079	testing
25362 0 552320	Focused ranking in a vertical search engine.
19178 0 278065	Obtaining Best Parameter Values for Accurate Classification.
30222 3 1449	factored
33046 3 5058	rejection
10676 1 224850	Chunbo Huang
11283 1 260984	Lei Sheng
33728 3 6385	analysts
5968 1 61702	Jayant R. Haritsa
8795 1 131990	Stephanie W. Haas
20782 0 357842	Techniques for Sensor-Based Diagnosis.
33433 3 5923	categorising
36105 3 10559	charm
17537 0 162733	Buffer Management in Distributed Database Systems: A Data Mining Based Approach.
33729 3 6386	diva
26874 0 556282	Streaming in a connected world: querying and tracking distributed data streams.
8590 1 124228	Tony Jebara
21904 0 360749	The Effect of Restarts on the Efficiency of Clause Learning.
5503 1 49929	Paolo Missier
11363 1 261174	Chendong Zou
28216 0 597357	Incremental Maintenance of Externally Materialized Views.
32974 3 4961	conversion
26076 0 554806	STRUDEL: A Web-site Management System.
21577 0 359941	The Model Inference System.
24075 0 536243	A Kernel-Based Semi-Na?ve Bayesian Classifier Using P-Trees.
29833 3 1033	future
420 1 7975	John Mylopoulos
15007 0 9384	A Logic and Time Nets for Probabilistic Inference.
19503 0 278621	Heterogeneous Learner for Web Page Classification.
15787 0 11802	A Logic of Emotions for Intelligent Agents.
6086 1 68916	Edward D. Lazowska
17339 0 159050	A New MDL Measure for Robust Rule Induction (Extended Abstract).
7007 1 90888	Hyoseop Shin
18599 0 276851	Efficient Creation and Incremental Maintenance of the HOPI Index for Complex XML Document Collections.
23145 0 487070	An Automatic Unsupervised Querying Algorithm for Efficient Information Extraction in Biomedical Domain.
11586 1 261651	Ming-Chuan Hung
20140 0 309488	Clustering with Instance-level Constraints.
5331 1 46131	Fei Xu
7400 1 109514	Ronald Rosenfeld
10152 1 175598	Hirofumi Matsuzawa
22539 0 436750	ANF: a fast and scalable tool for data mining in massive graphs.
11103 1 260572	Liu Wang
34049 3 6868	presumed
1631 1 16454	Jak Kirman
3037 1 19441	Vineet Padmanabhan
7570 1 113300	Mayank Bawa
4071 1 27037	Cheng Niu
37019 3 12009	fagin
10958 1 260290	A. P. Manolas
15413 0 10764	Dependency Parsing with Dynamic Bayesian Network.
22195 0 436077	Using a Hybrid Neural/Expert System for Data Base Mining in Market Survey Data.
5007 1 38723	Pasquale Rullo
12975 1 391103	Shih-Chien Kuo
28217 0 597359	From Nested-Loop to Join Queries in OODB.
10895 1 259716	Lars Brenna
27081 0 595411	Aqua: A Fast Decision Support Systems Using Approximate Query Answers.
34557 3 7716	radiographs
5490 1 49582	Edmund M. Clarke
8158 1 114475	J��rg Bolliger
13885 1 422534	Anita N. Benson
21995 0 360918	An Efficient Protocol for Negotiation over Multiple Indivisible Resources.
17883 0 275357	Active Database Management of Global Data Integrity Constraints in Heterogeneous Database Environments.
22948 0 486607	The Application of Emerging Patterns for Improving the Quality of Rare-Class Classification.
30785 3 2116	aided
33333 3 5687	convolution
10750 1 234069	A. P. Ambler
16473 0 86359	Automatic Discovery of Salient Segments in Imperfect Speech Transcripts.
33010 3 5007	compressed
13249 1 421048	M. Standring
1183 1 15592	Chitta Baral
30894 3 2238	unanchored
3864 1 23461	Jun Miura
23746 0 504007	Optimal and Approximate Computation of Summary Statistics for Range Aggregates.
15384 0 10666	Complexity of Contextual Reasoning.
11005 1 260375	V. Krishnaprasad
14389 1 438731	Gabriel Vasile
36932 3 11878	italia
32011 3 3611	raw
32582 3 4415	chemistry
33430 3 5919	terabyte
23053 0 486826	Direct and Incremental Computing of Maximal Covering Rules.
34040 3 6854	rdb
24804 0 551450	Using Global Colour Features for General Photographic Image Indexing and Retrieval.
35181 3 8914	skeptic
8824 1 133431	Torgeir R. Hvidsten
21076 0 358626	Solving Factored MDPs via Non-Homogeneous Partitioning.
3182 1 19813	Tao Xiong
27535 0 596142	Similarity Search in High Dimensions via Hashing.
15708 0 11641	Learning Equilibrium in Resource Selection Games.
16407 0 86226	A framework for refining similarity queries using learning techniques.
2434 1 18103	Daphna Dor-Shifer
25410 0 552392	The influence of basic tokenization on biomedical document retrieval.
18943 0 277514	Summarizing Order Statistics over Data Streams with Duplicates.
5779 1 55428	George H. L. Fletcher
39 1 760	Danijel Skocaj
33786 3 6484	committee
2116 1 17420	Andres Huertas
35491 3 9440	controversy
22320 0 436314	Creating social networks to improve peer-to-peer networking.
21040 0 358518	Dependency Relationship Based Decision Combination in Multiple Classifier Systems.
565 1 10491	Jean Sallantin
18023 0 275636	SONET Configuration Management with OpenPM.
28553 0 625832	Web-scale information extraction in knowitall: (preliminary results).
7057 1 93058	Martin Scholz
15009 0 9386	An Automatic Algorithm Designer: An Initial Implementation.
23565 0 501023	Peculiarity Oriented Multi-database Mining.
12305 1 316643	B. Nash-Webber
36944 3 11907	inserting
37735 3 13485	shaded
12214 1 316260	Frank Bennett
4559 1 34053	Enrico Nardelli
238 1 4498	Viet Dung Dang
23063 0 486862	A Framework for Incorporating Class Priors into Discriminative Classification.
10324 1 181143	J. Stephen Downie
34255 3 7198	coarticulation
13484 1 421373	Yael Nemeth
30562 3 1838	words
22850 0 437304	Dynamic hybrid clustering of bioinformatics by incorporating text mining and citation analysis.
1157 1 15547	Cecile T. Balkanski
20129 0 309454	Core Vector Regression for very large regression problems.
28220 0 597364	LEO - DB2's LEarning Optimizer.
11727 1 262009	Chris Ding
20461 0 357051	A Decision-Theoretic Approach to Task Assistance for Persons with Dementia.
20218 0 309688	Discriminative unsupervised learning of structured predictors.
7296 1 104392	Martin Mozina
19861 0 308625	Avoiding Bias when Aggregating Relational Data with Degree Disparity.
23554 0 500979	Towards Process-Oriented Tool Support for Knowledge Discovery in Databases.
24235 0 536520	Topic Models over Text Streams: A Study of Batch and Online Unsupervised Learning.
28124 0 597189	ALIAS: An Active Learning led Interactive Deduplication System.
29943 3 1150	forming
31092 3 2462	batch
7262 1 102942	Daniel Zinn
20579 0 357316	High-Performance A\ast Search Using Rapidly Growing Heuristics.
32700 3 4589	transposition
10587 1 209497	Franco Sirovich
34811 3 8151	errorful
1191 1 15605	George B. Davis
17452 0 162546	The Reuse and Modification of Rulebases by Predicate Substituation.
15889 0 12002	The UBC Semantic Robot Vision System.
24730 0 551316	Advanced Retrieval From Heterogeneous Fact Databases: Integration of Data Retrieval, Conversion, Aggregation and Deductive Techniques.
28818 0 627222	An efficient two-phase service discovery mechanism.
31770 3 3291	skewed
19 1 521	Ken-ichi Kanatani
7666 1 113712	Eric W. Brown
37687 3 13390	thorough
1470 1 16152	Winston Cheng
7372 1 108236	Thomas K. Landauer
17142 0 157008	A Hierarchical Consensus Architecture for Robust Document Clustering.
3209 1 19902	James Shaw
20623 0 357418	Complexity Results for Propositional Closed World Reasoning and Circumscription from Tractable Knowledge Bases.
25295 0 552221	Query Expansion Using Local and Global Document Analysis.
30853 3 2192	controlled
29826 3 1024	providing
31809 3 3346	quadrupedal
22163 0 435998	Using randomized response techniques for privacy-preserving data mining.
28534 0 625699	Accelerated focused crawling through online relevance feedback.
10078 1 175379	Parul A. Mittal
2546 1 18305	Ruven E. Brooks
20656 0 357537	Optimization Approaches to the Problem of Edge Linking With a Focus on Parallel Processing.
36940 3 11894	vist
347 1 5985	Xin Zheng
11843 1 282783	Nicholas Nowe
24107 0 536288	Discovering Frequent Tree Patterns over Data Streams.
23527 0 500910	Extraction of Experts' Decision Process from Clinical Databases Using Rough Set Model.
562 1 10450	Wai-Ho Au
9843 1 169782	John Salasin
27721 0 596458	Efficient Index Structures for String Databases.
33812 3 6532	uminer
29650 3 841	human
5511 1 50063	Boaz Ben-Moshe
19386 0 278405	Zigzag: a new algorithm for mining large inclusion dependencies in database.
29152 3 302	context
36902 3 11828	dataflows
4481 1 33698	Yangjun Chen
31970 3 3559	mdp
5360 1 47447	Pedro Jos�� Marr��n
24744 0 551346	The Decomposition of Human-Written Summary Sentences.
26059 0 554786	Common Subexpression Analysis in Database Applications.
35028 3 8607	snobol
2649 1 18585	Robert Niewiadomski
3019 1 19399	Boris Katz
10760 1 235631	Phil Shaw
15500 0 11001	The Interpretation of Temporal Relations in Narrative.
22508 0 436683	Aggregating time partitions.
11919 1 283038	W. H. Wolberg
13988 1 422747	Kai C. Wong
22542 0 436753	Automatic mining of fruit fly embryo images.
7964 1 114192	Zheng Xuan Loh
17303 0 158908	Active Learning for Probability Estimation Using Jensen-Shannon Divergence.
4988 1 38139	James H. Kaufman
16357 0 86144	Spatial Query Processing Using Object Decomposition Method.
19321 0 278310	Linear Causal Model Discovery Using the MML criterion.
27950 0 596874	PLACE: A Query Processor for Handling Real-time Spatio-temporal Data Streams.
10026 1 173434	Hendrik Skubch
22801 0 437213	High-quantile modeling for customer wallet estimation and other applications.
9200 1 149345	Byoung-Kee Yi
34202 3 7119	gibbs
22218 0 436118	Discovery net: towards a grid of knowledge discovery.
2396 1 18032	Pascal Poupart
20122 0 309441	Support Vector Machine Active Learning with Application sto Text Classification.
6443 1 78015	Donald Kossmann
36306 3 10866	probfuse
28002 0 596975	Indexing the Distance: An Efficient Method to KNN Processing.
13501 1 421405	Hong-Pao Shi
25248 0 552154	A review of relevance feedback experiments at the 2003 reliable information access (RIA) workshop.
31679 3 3176	studies
13262 1 421062	Jeffrey D. Brennan
30219 3 1446	clinical
21589 0 359984	Time for Action: On the Relation Between Time, Knowledge and Action.
28404 0 597670	Context-Aware Wrapping: Synchronized Data Extraction.
23136 0 487041	Robust Ensemble Learning for Data Mining.
25575 0 552611	SOPING: a Chinese customer review mining system.
37243 3 12402	caprera
20368 0 356780	Augmenting Concept Languages by Transitive Closure of Roles: An Alternative to Terminological Cycles.
19245 0 278170	Feature Selection for Building Cost-Effective Data Stream Classifiers.
31990 3 3580	abductive
4816 1 35605	Pamela Drew
14814 0 8727	On Being Contradictory.
19795 0 308390	Utilizing Domain Knowledge in Neuroevolution.
8938 1 138862	Du Q. Huynh
19860 0 308624	Linkage and Autocorrelation Cause Feature Selection Bias in Relational Learning.
23769 0 504041	Knowledgebase Transformations.
7894 1 114099	Thodoris Tsotsos
31407 3 2840	hand
36258 3 10795	ohsumed
22888 0 437368	Reconstructing chemical reaction networks: data mining meets system identification.
6255 1 74454	David W. Albrecht
6549 1 78934	Tommi Jaakkola
27468 0 596052	Efficient Implementation of Large-Scale Multi-Structural Databases.
17123 0 156970	Evaluating Relevance Feedback Algorithms for Searching on Small Displays.
12886 1 366689	Rinkal Patel
5078 1 39748	Vlado Keselj
8026 1 114286	Junmin Gu
27320 0 595796	Analysis of VSAM's Free-Space Behavior.
2990 1 19330	Michael R. Wick
22929 0 437432	Direct mining of discriminative and essential frequent patterns via model-based search tree.
34828 3 8181	umrao
28330 0 597561	Query By Excel.
1903 1 16970	Pat Langley
26044 0 554745	Reference Reconciliation in Complex Information Spaces.
31977 3 3567	turing
8744 1 130273	Peter Bert��k
1158 1 15548	Beverly Park Woolf
26947 0 556393	OLAP on sequence data.
31804 3 3339	everyday
30851 3 2190	connections
18684 0 277019	Mermaid - Experiences with Network Operation.
29750 3 946	literature
3755 1 21128	Thomas R. Gross
6762 1 85811	Norbert Fuhr
34568 3 7734	nlg
32719 3 4619	google
523 1 9522	Shiwei Tang
23785 0 504066	Data mining, Hypergraph Transversals, and Machine Learning.
1757 1 16694	Fang Chu
16642 0 86642	Designing semantics-preserving cluster representatives for scientific input conditions.
4124 1 27361	Patrick Pantel
3045 1 19460	Samarth Swarup
8710 1 128273	P. P. S. Narayan
28718 0 626867	Exploring in the weblog space by detecting informative and affective articles.
5384 1 48499	Philippe Laborie
17862 0 275325	Flattening an Object Algebra to Provide Performance.
18137 0 275858	Nile: A Query Processing Engine for Data Streams.
3505 1 20430	Julia M. Taylor
25833 0 554374	MYSTIQ: a system for finding more answers by using probabilities.
3931 1 26030	Naoki Abe
33146 3 5236	cluttered
36410 3 11041	ultra
21012 0 358449	Combining Memory and Landmarks with Predictive State Representations.
7288 1 104200	Zhi-Pei Liang
19023 0 277741	MOOLAP: Towards Multi-Objective OLAP.
2227 1 17627	Richard K. Belew
33281 3 5557	lesions
28925 3 57	robust
23647 0 503827	A Cost Model For Nearest Neighbor Search in High-Dimensional Data Space.
35421 3 9338	tumor
13895 1 422559	Isamu Yoshida
9575 1 160212	Alan F. Karr
19838 0 308535	Localizing Policy Gradient Estimates to Action Transition.
5879 1 59202	Chandra Chekuri
17046 0 156785	Improving the Evaluation of Web Search Systems.
19514 0 278639	High-Performance Unsupervised Relation Extraction from Large Corpora.
8040 1 114310	Amit Anil Nanavati
15100 0 9771	Incremental Least Squares Policy Iteration for POMDPs.
28515 0 625570	An event-condition-action language for XML.
6620 1 82452	Venkatesan T. Chakaravarthy
21590 0 359985	A Symmetric View of Utilities and Probabilities.
3463 1 20361	Shie Mannor
28625 0 626307	Detecting spam web pages through content analysis.
22607 0 436877	KESO: Minimizing Database Interaction.
27263 0 595706	Concept Description Language for Statistical Data Modeling.
1481 1 16170	Fumihiko Chimura
29515 3 690	lessons
30487 3 1756	people
37311 3 12525	hands
15282 0 10369	A Circumscriptive Theory for Causal and Evidential Support.
